,x_t,y_t,z_t,x_m,y_m,z_m,j1_t,j2_t,j3_t,j4_t,j5_t,j6_t
152,-0.4164302,-0.477176068,0.122222222,-0.440074914,-0.499957672,0.12075946,0.674286019,-1.012247785,1.647249465,-0.634724246,1.527002,1.536514228
153,-0.394512821,-0.452061538,0.122222222,-0.418097865,-0.47478526,0.120854854,0.6625945,-1.076227121,1.755221852,-0.678717135,1.515310482,1.536510977
154,-0.372595442,-0.426947008,0.122222222,-0.396159826,-0.449524889,0.120998726,0.649253126,-1.139489382,1.858467843,-0.718700633,1.501969109,1.53650726
155,-0.350678063,-0.401832478,0.122222222,-0.374192742,-0.424379244,0.121075108,0.633881948,-1.202772236,1.957776591,-0.754726199,1.486597932,1.536502968
156,-0.328760684,-0.376717948,0.122222222,-0.352247412,-0.39923458,0.12110729,0.615972971,-1.266844052,2.053755994,-0.786633318,1.468688956,1.536497952
157,-0.306843305,-0.351603418,0.122222222,-0.330384075,-0.3740853,0.121266041,0.594830329,-1.332582044,2.146882798,-0.814021461,1.447546316,1.536492006
158,-0.284925926,-0.326488888,0.122222222,-0.308424954,-0.348882425,0.121342572,0.569472747,-1.401074515,2.237533818,-0.836179037,1.422188736,1.536484833
159,-0.263008547,-0.301374359,0.122222222,-0.286464288,-0.323713709,0.121339402,0.538465763,-1.473770737,2.32599596,-0.851943512,1.391181756,1.536475986
160,-0.263008547,-0.301374359,0.066666667,-0.286154298,-0.323925007,0.0659896619999999,0.538465752,-1.32422995,2.372792664,-1.048280827,1.391181706,1.536476119
161,-0.284925926,-0.326488888,0.066666667,-0.308033423,-0.349034227,0.065878914,0.569468767,-1.265731869,2.280668631,-1.014656525,1.422184756,1.536485033
162,-0.306843305,-0.351603418,0.066666667,-0.33004122,-0.374244838,0.0658981,0.594827813,-1.209137076,2.187142681,-0.977726331,1.447543799,1.536492172
163,-0.328760684,-0.376717948,0.066666667,-0.351967111,-0.3993679,0.065773967,0.615971315,-1.153529785,2.09175732,-0.937948926,1.4686873,1.53649809
164,-0.350678063,-0.401832478,0.066666667,-0.373861919,-0.424476159,0.065577444,0.63388083,-1.098210089,1.994023889,-0.895535654,1.486596814,1.536503085
